Month,EMI,Principal Payment,Interest Payment,Remaining Balance
1,10338.21,6671.54,3666.67,393328.46
2,10338.21,6732.7,3605.51,386595.76
3,10338.21,6794.41,3543.79,379801.34
4,10338.21,6856.7,3481.51,372944.65
5,10338.21,6919.55,3418.66,366025.1
6,10338.21,6982.98,3355.23,359042.12
7,10338.21,7046.99,3291.22,351995.13
8,10338.21,7111.59,3226.62,344883.54
9,10338.21,7176.78,3161.43,337706.77
10,10338.21,7242.56,3095.65,330464.2
11,10338.21,7308.95,3029.26,323155.25
12,10338.21,7375.95,2962.26,315779.3
13,10338.21,7443.57,2894.64,308335.73
14,10338.21,7511.8,2826.41,300823.93
15,10338.21,7580.66,2757.55,293243.28
16,10338.21,7650.15,2688.06,285593.13
17,10338.21,7720.27,2617.94,277872.86
18,10338.21,7791.04,2547.17,270081.82
19,10338.21,7862.46,2475.75,262219.36
20,10338.21,7934.53,2403.68,254284.83
21,10338.21,8007.26,2330.94,246277.56
22,10338.21,8080.66,2257.54,238196.9
23,10338.21,8154.74,2183.47,230042.16
24,10338.21,8229.49,2108.72,221812.67
25,10338.21,8304.93,2033.28,213507.74
26,10338.21,8381.05,1957.15,205126.69
27,10338.21,8457.88,1880.33,196668.81
28,10338.21,8535.41,1802.8,188133.4
29,10338.21,8613.65,1724.56,179519.74
30,10338.21,8692.61,1645.6,170827.13
31,10338.21,8772.29,1565.92,162054.84
32,10338.21,8852.71,1485.5,153202.13
33,10338.21,8933.86,1404.35,144268.28
34,10338.21,9015.75,1322.46,135252.53
35,10338.21,9098.39,1239.81,126154.13
36,10338.21,9181.8,1156.41,116972.34
37,10338.21,9265.96,1072.25,107706.37
38,10338.21,9350.9,987.31,98355.47
39,10338.21,9436.62,901.59,88918.86
40,10338.21,9523.12,815.09,79395.74
41,10338.21,9610.41,727.79,69785.32
42,10338.21,9698.51,639.7,60086.81
43,10338.21,9787.41,550.8,50299.4
44,10338.21,9877.13,461.08,40422.27
45,10338.21,9967.67,370.54,30454.59
46,10338.21,10059.04,279.17,20395.55
47,10338.21,10151.25,186.96,10244.3
48,10338.21,10244.3,93.91,0.0
